epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,129.532,1.04909,0.6259,1,1.00152,0.0002142,0.0002142,0.0002142
2,266.885,0.82554,0.56115,1,0.97973,0.000291812,0.000291812,0.000291812
3,414.371,0.68128,0.66906,1,0.90283,0.000223339,0.000223339,0.000223339
