epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,133.1,1.04909,0.6259,1,1.00152,0.0002142,0.0002142,0.0002142
2,269.406,0.81162,0.55396,1,0.96926,0.000349303,0.000349303,0.000349303
3,407.078,0.62716,0.66906,1,0.86117,0.000396756,0.000396756,0.000396756
4,544.676,0.48125,0.64029,1,0.88238,0.000289884,0.000289884,0.000289884
5,683.446,0.45555,0.69065,1,0.87115,0.000148512,0.000148512,0.000148512
