epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,375.851,0.91161,0.59712,1,0.97181,0.000235326,0.000235326,0.000235326
2,762.734,0.62123,0.64029,1,0.8908,0.000379607,0.000379607,0.000379607
3,1153.97,0.5077,0.66187,1,0.83471,0.000429641,0.000429641,0.000429641
4,1564.39,0.4437,0.7482,1,0.76505,0.000289884,0.000289884,0.000289884
5,1969.38,0.39497,0.76978,1,0.77344,0.000148512,0.000148512,0.000148512
